




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	L2-3 IT All DE Genes.txt (Mus musculus)
Reference List:	L2-3 IT All Expressed Genes.txt (Mus musculus)	There are duplicate IDs in the file. The unique set of IDs will be used.
Test Type:	FISHER
Correction:	FDR
GO biological process complete	L2-3 IT All Expressed Genes.txt - REFLIST (9465)	L2-3 IT All DE Genes.txt (249)	L2-3 IT All DE Genes.txt (expected)	L2-3 IT All DE Genes.txt (over/under)	L2-3 IT All DE Genes.txt (fold Enrichment)	L2-3 IT All DE Genes.txt (raw P-value)	L2-3 IT All DE Genes.txt (FDR)
facial nucleus development (GO:0021754)	1	1	.03	+	38.01	5.06E-02	1.00E00
hypoglossal nucleus development (GO:0021743)	1	1	.03	+	38.01	5.06E-02	1.00E00
abducens nucleus development (GO:0021742)	1	1	.03	+	38.01	5.06E-02	1.00E00
basophil chemotaxis (GO:0002575)	1	1	.03	+	38.01	5.06E-02	1.00E00
cerebellar cortex structural organization (GO:0021698)	1	1	.03	+	38.01	5.06E-02	1.00E00
cyclooxygenase pathway (GO:0019371)	1	1	.03	+	38.01	5.06E-02	1.00E00
negative regulation of cell-cell adhesion mediated by integrin (GO:0033633)	1	1	.03	+	38.01	5.06E-02	1.00E00
zygotic determination of anterior/posterior axis, embryo (GO:0007354)	1	1	.03	+	38.01	5.06E-02	1.00E00
olfactory nerve structural organization (GO:0021629)	1	1	.03	+	38.01	5.06E-02	1.00E00
olfactory nerve morphogenesis (GO:0021627)	1	1	.03	+	38.01	5.06E-02	1.00E00
protein localization to pericentric heterochromatin (GO:1902682)	1	1	.03	+	38.01	5.06E-02	1.00E00
cellular response to fluoride (GO:1902618)	1	1	.03	+	38.01	5.06E-02	1.00E00
response to fluoride (GO:1902617)	1	1	.03	+	38.01	5.06E-02	1.00E00
negative regulation of vasculogenesis (GO:2001213)	1	1	.03	+	38.01	5.06E-02	1.00E00
neural crest cell migration involved in sympathetic nervous system development (GO:1903045)	1	1	.03	+	38.01	5.06E-02	1.00E00
negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding (GO:1903026)	1	1	.03	+	38.01	5.06E-02	1.00E00
negative regulation of T cell mediated cytotoxicity (GO:0001915)	1	1	.03	+	38.01	5.06E-02	1.00E00
positive regulation of Rho guanyl-nucleotide exchange factor activity (GO:2001108)	1	1	.03	+	38.01	5.06E-02	1.00E00
trophectodermal cellular morphogenesis (GO:0001831)	1	1	.03	+	38.01	5.06E-02	1.00E00
negative regulation of miRNA catabolic process (GO:2000626)	1	1	.03	+	38.01	5.06E-02	1.00E00
positive regulation of chemokine (C-C motif) ligand 5 production (GO:0071651)	1	1	.03	+	38.01	5.06E-02	1.00E00
