




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	Micro-PVM All DE Genes.txt (Mus musculus)
Reference List:	Micro-PVM All Expressed Genes.txt (Mus musculus)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Micro-PVM All Expressed Genes.txt - REFLIST (4751)	Micro-PVM All DE Genes.txt (40)	Micro-PVM All DE Genes.txt (expected)	Micro-PVM All DE Genes.txt (over/under)	Micro-PVM All DE Genes.txt (fold Enrichment)	Micro-PVM All DE Genes.txt (raw P-value)	Micro-PVM All DE Genes.txt (FDR)
synapse assembly (GO:0007416)	43	7	.36	+	19.34	1.25E-07	7.37E-04
cell junction assembly (GO:0034329)	94	9	.79	+	11.37	1.08E-07	1.28E-03
cell junction organization (GO:0034330)	189	10	1.59	+	6.28	3.47E-06	1.36E-02
synapse organization (GO:0050808)	130	8	1.09	+	7.31	1.37E-05	4.01E-02
cell adhesion (GO:0007155)	228	10	1.92	+	5.21	1.72E-05	4.04E-02
cell migration (GO:0016477)	295	11	2.48	+	4.43	2.62E-05	5.12E-02
cell motility (GO:0048870)	315	11	2.65	+	4.15	4.72E-05	7.93E-02
regulation of cardiac muscle contraction (GO:0055117)	27	4	.23	+	17.60	1.11E-04	1.64E-01
regulation of striated muscle contraction (GO:0006942)	28	4	.24	+	16.97	1.27E-04	1.65E-01
regulation of ion transport (GO:0043269)	242	9	2.04	+	4.42	1.68E-04	1.98E-01
regulation of metal ion transport (GO:0010959)	158	7	1.33	+	5.26	3.61E-04	3.03E-01
nervous system development (GO:0007399)	685	15	5.77	+	2.60	2.89E-04	3.09E-01
regulation of transmembrane transport (GO:0034762)	210	8	1.77	+	4.52	3.52E-04	3.18E-01
regulation of cardiac muscle cell contraction (GO:0086004)	16	3	.13	+	22.27	4.76E-04	3.29E-01
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules (GO:0007157)	14	3	.12	+	25.45	3.38E-04	3.31E-01
regulation of muscle contraction (GO:0006937)	43	4	.36	+	11.05	5.74E-04	3.37E-01
regulation of sodium ion transport (GO:0002028)	42	4	.35	+	11.31	5.28E-04	3.45E-01
brain morphogenesis (GO:0048854)	16	3	.13	+	22.27	4.76E-04	3.50E-01
regulation of ion transmembrane transport (GO:0034765)	171	7	1.44	+	4.86	5.73E-04	3.54E-01
regulation of synapse structure or activity (GO:0050803)	125	6	1.05	+	5.70	6.66E-04	3.56E-01
regulation of synapse organization (GO:0050807)	124	6	1.04	+	5.75	6.40E-04	3.58E-01
regulation of actin filament-based movement (GO:1903115)	16	3	.13	+	22.27	4.76E-04	3.73E-01
neuroligin clustering involved in postsynaptic membrane assembly (GO:0097118)	4	2	.03	+	59.39	9.98E-04	4.35E-01
regulation of cell projection organization (GO:0031344)	312	9	2.63	+	3.43	1.04E-03	4.37E-01
regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion (GO:0010881)	4	2	.03	+	59.39	9.98E-04	4.51E-01
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	49	4	.41	+	9.70	9.09E-04	4.64E-01
regulation of synaptic membrane adhesion (GO:0099179)	4	2	.03	+	59.39	9.98E-04	4.69E-01
regulation of plasma membrane bounded cell projection organization (GO:0120035)	309	9	2.60	+	3.46	9.73E-04	4.77E-01
postsynaptic membrane assembly (GO:0097104)	5	2	.04	+	47.51	1.39E-03	5.11E-01
regulation of heart contraction (GO:0008016)	54	4	.45	+	8.80	1.28E-03	5.18E-01
regulation of ventricular cardiac muscle cell action potential (GO:0098911)	5	2	.04	+	47.51	1.39E-03	5.27E-01
positive regulation of synaptic vesicle clustering (GO:2000809)	5	2	.04	+	47.51	1.39E-03	5.45E-01
postsynapse assembly (GO:0099068)	6	2	.05	+	39.59	1.84E-03	5.86E-01
regulation of transcription by RNA polymerase II (GO:0006357)	757	0	6.37	-	 < 0.01	1.69E-03	6.00E-01
response to epinephrine (GO:0071871)	6	2	.05	+	39.59	1.84E-03	6.02E-01
cellular response to epinephrine stimulus (GO:0071872)	6	2	.05	+	39.59	1.84E-03	6.19E-01
regulation of synaptic vesicle clustering (GO:2000807)	6	2	.05	+	39.59	1.84E-03	6.37E-01
regulation of heart rate (GO:0002027)	28	3	.24	+	12.73	2.06E-03	6.38E-01
heart contraction (GO:0060047)	29	3	.24	+	12.29	2.26E-03	6.82E-01
regulation of transport (GO:0051049)	671	13	5.65	+	2.30	2.66E-03	7.83E-01
regulation of cardiac muscle contraction by calcium ion signaling (GO:0010882)	8	2	.07	+	29.69	2.93E-03	8.41E-01
regulation of blood circulation (GO:1903522)	73	4	.61	+	6.51	3.64E-03	8.90E-01
cell communication involved in cardiac conduction (GO:0086065)	9	2	.08	+	26.39	3.56E-03	8.92E-01
response to muscle stretch (GO:0035994)	9	2	.08	+	26.39	3.56E-03	9.11E-01
regulation of neuron projection development (GO:0010975)	233	7	1.96	+	3.57	3.27E-03	9.15E-01
action potential (GO:0001508)	34	3	.29	+	10.48	3.44E-03	9.20E-01
anatomical structure arrangement (GO:0048532)	9	2	.08	+	26.39	3.56E-03	9.31E-01
heart process (GO:0003015)	34	3	.29	+	10.48	3.44E-03	9.41E-01
